2025-08-01 13:08:25.629286+00:00 UTC
skupper-prd-dor-skupper-router-6c9d8b4d99-dv879

Router Addresses
  class   addr                                                     distrib    pri  local  remote  in      out      thru
  local   temp.d6eock9VSpVLW0S                                     balanced   -    1      0       1       1        0
  local   temp.dw+TbDzorR0PbK8                                     balanced   -    1      0       1       1        0
  local   temp.eFGKeNKG2l7jyAs                                     balanced   -    1      0       1       1        0
  local   temp.eHVvoo24YfK0EFD                                     balanced   -    1      0       1       1        0
  local   temp.eiff1jWsL9tlj2k                                     balanced   -    1      0       1       1        0
  local   temp.fsRds3iSfnm7YXG                                     balanced   -    1      0       1       1        0
  local   temp.fvIgK_lu+Zvi8C1                                     balanced   -    1      0       1       1        0
  local   temp.gNh1s+MK_2NqhrX                                     balanced   -    1      0       1       1        0
  local   temp.h4h3Y_ogFJaUKzg                                     balanced   -    1      0       1       1        0
  local   temp.hNxcpJDJsAmRI92                                     balanced   -    1      0       1       1        0
  local   temp.huyeenEDhAXc0V_                                     balanced   -    1      0       1       1        0
  local   temp.iOKh1c7eHSmi572                                     balanced   -    1      0       1       1        0
  local   temp.jMr4FZjNDgkAtg0                                     balanced   -    1      0       1       1        0
  local   temp.jQ3s2L3ZMMp0SNH                                     balanced   -    1      0       1       1        0
  local   temp.mOwTYaNe14VhxXs                                     balanced   -    1      0       1       1        0
  local   temp.m_B_EUsxYLzfV43                                     balanced   -    1      0       1       1        0
  local   temp.mpl8K9tGfX1mT_X                                     balanced   -    1      0       1       1        0
  local   temp.nXPJlJxjM7xGnsa                                     balanced   -    1      0       0       1        0
  local   temp.nqvog9fTxLAz9Fm                                     balanced   -    1      0       1       1        0
  local   temp.o5jLJaLG7n35GYs                                     balanced   -    1      0       1       1        0
  local   temp.oXN0S7j8waCN26M                                     balanced   -    1      0       1       1        0
  local   temp.olJUGCpvIGPYV6p                                     balanced   -    1      0       1       1        0
  local   temp.pjG+WDYcMy7acau                                     balanced   -    1      0       1       1        0
  local   temp.pp2MePdqQw_m6vv                                     balanced   -    1      0       1       1        0
  local   temp.q5Ip4e_6L6T+N9j                                     balanced   -    1      0       1       1        0
  local   temp.qYHeaYS7m4xxp9u                                     balanced   -    1      0       1       1        0
  local   temp.quPwqd0axAzo+h8                                     balanced   -    1      0       1       1        0
  local   temp.r3g1a8gLRITsxRV                                     balanced   -    1      0       1       1        0
