2025-08-01 13:08:20.350902+00:00 UTC
skupper-prd-dor-skupper-router-6c9d8b4d99-9pz67

Router Addresses
  class   addr                                                     distrib    pri  local  remote  in      out        thru
  local   temp.NvSyndH37oMgXrt                                     balanced   -    1      0       1       1          0
  local   temp.O+2dFHWUm2L55cj                                     balanced   -    1      0       1       1          0
  local   temp.OApeXmF9xHXwFbF                                     balanced   -    1      0       1       1          0
  local   temp.OLf9EeYIHxsdIw6                                     balanced   -    1      0       1       1          0
  local   temp.OPjzep_mtvoLzlO                                     balanced   -    1      0       1       1          0
  local   temp.OWw9kKfgCLASItJ                                     balanced   -    1      0       1       1          0
  local   temp.Od+1BWqpVMxCWch                                     balanced   -    1      0       1       1          0
  local   temp.P0MvDEwJ8YD7hQx                                     balanced   -    1      0       1       1          0
  local   temp.P2AIjRviov7OlGl                                     balanced   -    1      0       1       1          0
  local   temp.PLOFtiJg7wj708J                                     balanced   -    1      0       1       1          0
  local   temp.QFNvhq_r6kALvHq                                     balanced   -    1      0       1       1          0
  local   temp.QOOFBq764wMmlcn                                     balanced   -    1      0       1       1          0
  local   temp.R31iKbTyRCalLxB                                     balanced   -    1      0       1       1          0
  local   temp.RkYER5iY6vO_eWr                                     balanced   -    1      0       1       1          0
  local   temp.T1wh6dIG940AnRb                                     balanced   -    1      0       1       1          0
  local   temp.T9bHU7t5rzlIzVf                                     balanced   -    1      0       1       1          0
  local   temp.UgLbfD4yii29Qjl                                     balanced   -    1      0       1       1          0
  local   temp.V_ev2e41iPagRcY                                     balanced   -    1      0       1       1          0
  local   temp.VnYX64qNKaR8foo                                     balanced   -    1      0       1       1          0
  local   temp.VtOPWmbLnhuKWHR                                     balanced   -    1      0       1       1          0
  local   temp.WKuB97gH34anCaQ                                     balanced   -    1      0       1       1          0
  local   temp.WViIB8F_aVtrKm4                                     balanced   -    1      0       1       1          0
  local   temp.XDjYuZIlqofQPza                                     balanced   -    1      0       1       1          0
  local   temp.Xbqbcv0EnmtOyio                                     balanced   -    1      0       1       1          0
  local   temp.Y89KC7nNfx3xxZy                                     balanced   -    1      0       1       1          0
  local   temp.YGHQMOsGXq3gI5U                                     balanced   -    1      0       1       1          0
  local   temp.aXqZihh4O9O79wo                                     balanced   -    1      0       1       1          0
  local   temp.dEHgRGPDCVHy_LX                                     balanced   -    1      0       1       1          0
  local   temp.dSYwCnZQS52untO                                     balanced   -    1      0       1       1          0
  local   temp.dbjKhSTocYAY8WM                                     balanced   -    1      0       1       1          0
  local   temp.eMV+JcVZb+M03ba                                     balanced   -    1      0       1       1          0
  local   temp.eNzcpUavRD0j7UF                                     balanced   -    1      0       1       1          0
  local   temp.emYGctNDCODJoFI                                     balanced   -    1      0       1       1          0
  local   temp.extSE5MOIAhPf4v                                     balanced   -    1      0       1       1          0
  local   temp.fMm5rLFOauH5guN                                     balanced   -    1      0       1       1          0
  local   temp.g+qR2QMaorz+9aM                                     balanced   -    1      0       1       1          0
  local   temp.gUUpVr8vtDcxdhi                                     balanced   -    1      0       1       1          0
  local   temp.gbOvd184RK4maSt                                     balanced   -    1      0       1       1          0
  local   temp.gf2ljoQQ1UVmjhb                                     balanced   -    1      0       1       1          0
  local   temp.h5LWw12BkQmxKEY                                     balanced   -    1      0       1       1          0
  local   temp.he7xKH1V80P9B4W                                     balanced   -    1      0       1       1          0
  local   temp.hwwh0aOn_oYjX2U                                     balanced   -    1      0       1       1          0
  local   temp.iXDdp61ljLqIk9J                                     balanced   -    1      0       1       1          0
