2025-08-05 18:23:01.036751+00:00 UTC
skupper-prd-wyn-skupper-router-7f4bf489d5-d94wd

Router Addresses
  class   addr                                                     distrib    pri  local  remote  in      out      thru
  local   temp.8bl8mDVTkhMzvr7                                     balanced   -    1      0       1       1        0
  local   temp.8cP0ChNNjOgkilV                                     balanced   -    1      0       1       1        0
  local   temp.8v8+_J34Z1Z5jkv                                     balanced   -    1      0       1       1        0
  local   temp.9I3OoC3XP4XzERo                                     balanced   -    1      0       1       1        0
  local   temp.9LR8mOkfkey7dMQ                                     balanced   -    1      0       0       0        0
  local   temp.9PA0F900pc1m5tb                                     balanced   -    1      0       1       1        0
  local   temp.9UO7jUcievblPKi                                     balanced   -    1      0       0       0        0
  local   temp.9jflzi6Csk6gkbI                                     balanced   -    1      0       1       1        0
  local   temp.9p2w3jAnI6x4GhI                                     balanced   -    1      0       3       29       0
  local   temp.9urYIL3xHcUKB+T                                     balanced   -    1      0       1       1        0
  local   temp.A6obvPxYbocMZI5                                     balanced   -    1      0       0       53       0
  local   temp.ACm0imgpXLer55a                                     balanced   -    1      0       0       0        0
  local   temp.AODVOtbl6HTMiW5                                     balanced   -    1      0       1       1        0
  local   temp.AS95a41bKM6CaGM                                     balanced   -    1      0       0       0        0
  local   temp.A_zuIwWLx3gpWlP                                     balanced   -    1      0       0       0        0
  local   temp.AjBmV062w_Adc3P                                     balanced   -    1      0       0       0        0
  local   temp.AurjC+8DF_+v5N6                                     balanced   -    1      0       0       0        0
  local   temp.B7YD1Ae39CG+xEz                                     balanced   -    1      0       1       1        0
  local   temp.BUvQGUcLcUaTgh9                                     balanced   -    1      0       0       0        0
  local   temp.BWMQIbIZdWvqRJJ                                     balanced   -    1      0       0       0        0
  local   temp.BYN6IVVd0l6GI4g                                     balanced   -    1      0       0       0        0
  local   temp.BcCtwyp8XPNkz+e                                     balanced   -    1      0       0       0        0
  local   temp.BoTTBO1YmfCmPUg                                     balanced   -    1      0       1       1        0
  local   temp.BoqnJ3FgzyLSSoK                                     balanced   -    1      0       1       1        0
  local   temp.C26ybz5LOnBvt8t                                     balanced   -    1      0       1       1        0
  local   temp.CFlAEel4wOR7O2L                                     balanced   -    1      0       1       1        0
  local   temp.CJTn9leEo2aO2Y5                                     balanced   -    1      0       1       1        0
  local   temp.CNbAzh1ZkBM_LY9                                     balanced   -    1      0       1       1        0
  local   temp.CVoKVOq5NYoAmut                                     balanced   -    1      0       1       1        0
  local   temp.CXtn+2AR5I97c0L                                     balanced   -    1      0       1       1        0
