2025-08-05 18:24:10.927036+00:00 UTC
skupper-prd-dor-skupper-router-6c9d8b4d99-dv879

Router Addresses
  class   addr                                                     distrib    pri  local  remote  in       out        thru
  local   temp.IIT7BzKHvbwv5T9                                     balanced   -    1      0       1        1          0
  local   temp.IefrH5+GNzCb0Ie                                     balanced   -    1      0       1        1          0
  local   temp.IfrUByRpA3eD0cF                                     balanced   -    1      0       1        1          0
  local   temp.IljJ8OYnzrwqYAo                                     balanced   -    1      0       1        1          0
  local   temp.IxkmIs1g0gZTQIr                                     balanced   -    1      0       1        1          0
  local   temp.J5seD_fjrdh4xBs                                     balanced   -    1      0       1        1          0
  local   temp.JJbcjLJ_rrHC8Am                                     balanced   -    1      0       1        1          0
  local   temp.JUYp0NmNgG+lAWB                                     balanced   -    1      0       1        1          0
  local   temp.JXht8fnnOQWW4fp                                     balanced   -    1      0       1        1          0
  local   temp.JYkyKVShwOJq_vn                                     balanced   -    1      0       1        1          0
  local   temp.Jy2HKLQ0yEXpt8c                                     balanced   -    1      0       1        1          0
  local   temp.K+rwRfa30M0aLdV                                     balanced   -    1      0       1        1          0
  local   temp.L5mx5MqEe2dLfWQ                                     balanced   -    1      0       1        1          0
  local   temp.L6WxgalHCSQ2qR7                                     balanced   -    1      0       1        1          0
  local   temp.LEG3Z4jlCpdT6Az                                     balanced   -    1      0       1        1          0
  local   temp.LK2BNj_xfhKYz5V                                     balanced   -    1      0       1        1          0
  local   temp.LVMBwS+brZq1EKa                                     balanced   -    1      0       1        1          0
  local   temp.LoU1z9oPFvRzGax                                     balanced   -    1      0       1        1          0
  local   temp.LtngvHwfmw6zp5i                                     balanced   -    1      0       1        1          0
  local   temp.MI_T8PmKr8w9WkK                                     balanced   -    1      0       1        1          0
  local   temp.M_CMVNgs52CU5sz                                     balanced   -    1      0       1        1          0
  local   temp.MfRX047dtcHyYop                                     balanced   -    1      0       1        1          0
  local   temp.MoNJotCt4ONvnVN                                     balanced   -    1      0       1        1          0
  local   temp.MpYsKMMZ_5H92fE                                     balanced   -    1      0       1        1          0
  local   temp.MsBcU0hPp+CoG1k                                     balanced   -    1      0       1        1          0
  local   temp.N1EfCVMR1snQJsr                                     balanced   -    1      0       1        1          0
  local   temp.N1TslWrk+BM8fva                                     balanced   -    1      0       1        1          0
  local   temp.N5CP5CvGwi8SMoD                                     balanced   -    1      0       0        0          0
  local   temp.NOhqHoUSoNGFDDK                                     balanced   -    1      0       1        1          0
  local   temp.NQKt0cHf6oHdxNo                                     balanced   -    1      0       1        1          0
  local   temp.NWDvFdFtiY32hSE                                     balanced   -    1      0       1        1          0
  local   temp.NqCwqkt0skAyQpx                                     balanced   -    1      0       1        1          0
  local   temp.Nx11aIx+ff4a6iE                                     balanced   -    1      0       1        1          0
  local   temp.O2Gn8ajR42hUMMs                                     balanced   -    1      0       1        1          0
